"EVENT_DATE","ADMIN1","EVENT_TYPE"
"10-2018","Centre","Protests"
"10-2018","Sahel","Strategic developments"
"10-2018","Centre","Protests"
"10-2018","Boucle du Mouhoun","Riots"
"10-2018","Centre","Protests"
"10-2018","Nord","Violence against civilians"
"10-2018","Centre-Sud","Protests"
"10-2018","Hauts-Bassins","Protests"
"10-2018","Sahel","Violence against civilians"
"10-2018","Cascades","Battles"
"10-2018","Sahel","Violence against civilians"
"10-2018","Sahel","Violence against civilians"
"10-2018","Sahel","Violence against civilians"
"10-2018","Sud-Ouest","Strategic developments"
"10-2018","Sahel","Violence against civilians"
"10-2018","Sahel","Battles"
"10-2018","Boucle du Mouhoun","Battles"
"10-2018","Sahel","Battles"
"10-2018","Est","Strategic developments"
"10-2018","Sahel","Violence against civilians"
"10-2018","Sahel","Violence against civilians"
"10-2018","Centre-Ouest","Protests"
"10-2018","Sahel","Violence against civilians"
"10-2018","Centre","Strategic developments"
"10-2018","Sahel","Strategic developments"
"10-2018","Est","Violence against civilians"
"10-2018","Sahel","Violence against civilians"
"10-2018","Sahel","Violence against civilians"
"10-2018","Sahel","Strategic developments"
"10-2018","Nord","Strategic developments"
"10-2018","Sahel","Violence against civilians"
"10-2018","Est","Strategic developments"
"10-2018","Nord","Strategic developments"
"10-2018","Nord","Strategic developments"
"10-2018","Sahel","Violence against civilians"
"10-2018","Sahel","Violence against civilians"
"10-2018","Boucle du Mouhoun","Battles"
"10-2018","Est","Violence against civilians"
"10-2018","Nord","Violence against civilians"
"10-2018","Plateau-Central","Protests"
"10-2018","Sud-Ouest","Battles"
"10-2018","Hauts-Bassins","Protests"
"10-2018","Centre","Protests"
"10-2018","Centre","Protests"
"10-2018","Sud-Ouest","Protests"
"10-2018","Sahel","Violence against civilians"
"11-2018","Centre","Riots"
"11-2018","Est","Protests"
"11-2018","Centre-Est","Battles"
"11-2018","Sahel","Violence against civilians"
"11-2018","Sahel","Explosions/Remote violence"
"11-2018","Est","Strategic developments"
"11-2018","Sahel","Strategic developments"
"11-2018","Sahel","Strategic developments"
"11-2018","Centre-Nord","Battles"
"11-2018","Nord","Riots"
"11-2018","Centre-Nord","Battles"
"11-2018","Centre-Nord","Battles"
"11-2018","Centre-Ouest","Battles"
"11-2018","Sahel","Violence against civilians"
"11-2018","Centre-Est","Protests"
"11-2018","Est","Violence against civilians"
"11-2018","Est","Battles"
"11-2018","Sud-Ouest","Riots"
"11-2018","Nord","Violence against civilians"
"11-2018","Est","Strategic developments"
"11-2018","Est","Strategic developments"
"11-2018","Sahel","Violence against civilians"
"11-2018","Sahel","Violence against civilians"
"11-2018","Centre-Est","Riots"
"11-2018","Nord","Strategic developments"
"11-2018","Est","Violence against civilians"
"11-2018","Centre","Violence against civilians"
"11-2018","Sahel","Violence against civilians"
"11-2018","Nord","Riots"
"11-2018","Sahel","Strategic developments"
"11-2018","Sahel","Violence against civilians"
"11-2018","Sahel","Violence against civilians"
"11-2018","Sahel","Strategic developments"
"11-2018","Sahel","Violence against civilians"
"11-2018","Centre-Ouest","Protests"
"11-2018","Est","Violence against civilians"
"11-2018","Est","Strategic developments"
"11-2018","Centre-Est","Strategic developments"
"11-2018","Sahel","Violence against civilians"
"11-2018","Hauts-Bassins","Protests"
"11-2018","Sahel","Explosions/Remote violence"
"11-2018","Centre","Riots"
"11-2018","Centre","Violence against civilians"
"11-2018","Centre","Battles"
"11-2018","Sahel","Battles"
"11-2018","Sud-Ouest","Strategic developments"
"11-2018","Sahel","Strategic developments"
"11-2018","Nord","Protests"
"11-2018","Sahel","Violence against civilians"
"11-2018","Centre","Riots"
"11-2018","Est","Strategic developments"
"11-2018","Hauts-Bassins","Battles"
"11-2018","Est","Strategic developments"
"11-2018","Centre","Violence against civilians"
"11-2018","Centre","Protests"
"11-2018","Boucle du Mouhoun","Violence against civilians"
"11-2018","Boucle du Mouhoun","Battles"
"11-2018","Nord","Riots"
"11-2018","Nord","Riots"
"11-2018","Nord","Riots"
"11-2018","Sahel","Battles"
"11-2018","Sahel","Battles"
"11-2018","Nord","Protests"
"11-2018","Boucle du Mouhoun","Battles"
"11-2018","Centre-Nord","Battles"
"11-2018","Sahel","Violence against civilians"
"11-2018","Boucle du Mouhoun","Riots"
"11-2018","Plateau-Central","Protests"
"11-2018","Centre-Nord","Protests"
"11-2018","Hauts-Bassins","Protests"
"11-2018","Centre-Est","Protests"
"11-2018","Est","Protests"
"11-2018","Nord","Protests"
"11-2018","Sahel","Protests"
"11-2018","Centre-Ouest","Protests"
"11-2018","Cascades","Protests"
"11-2018","Est","Protests"
"11-2018","Centre","Protests"
"11-2018","Centre-Ouest","Protests"
"11-2018","Sud-Ouest","Protests"
"11-2018","Sud-Ouest","Protests"
"11-2018","Hauts-Bassins","Protests"
"11-2018","Boucle du Mouhoun","Protests"
"11-2018","Nord","Protests"
"11-2018","Est","Battles"
"11-2018","Est","Violence against civilians"
"11-2018","Sahel","Strategic developments"
"12-2018","Boucle du Mouhoun","Protests"
"12-2018","Centre-Est","Protests"
"12-2018","Est","Battles"
"12-2018","Nord","Violence against civilians"
"12-2018","Boucle du Mouhoun","Violence against civilians"
"12-2018","Centre","Strategic developments"
"12-2018","Boucle du Mouhoun","Violence against civilians"
"12-2018","Sahel","Battles"
"12-2018","Nord","Strategic developments"
"12-2018","Centre","Riots"
"12-2018","Cascades","Protests"
"12-2018","Plateau-Central","Protests"
"12-2018","Centre","Strategic developments"
"12-2018","Boucle du Mouhoun","Battles"
"12-2018","Hauts-Bassins","Violence against civilians"
"12-2018","Hauts-Bassins","Protests"
"12-2018","Est","Strategic developments"
"12-2018","Boucle du Mouhoun","Protests"
"12-2018","Est","Strategic developments"
"12-2018","Sahel","Explosions/Remote violence"
"12-2018","Sud-Ouest","Battles"
"12-2018","Sud-Ouest","Protests"
"12-2018","Est","Protests"
"12-2018","Sahel","Violence against civilians"
"12-2018","Est","Battles"
"12-2018","Centre-Nord","Violence against civilians"
"12-2018","Est","Violence against civilians"
"12-2018","Est","Violence against civilians"
"12-2018","Est","Violence against civilians"
"12-2018","Hauts-Bassins","Violence against civilians"
"12-2018","Sud-Ouest","Violence against civilians"
"12-2018","Est","Violence against civilians"
"12-2018","Sud-Ouest","Violence against civilians"
"12-2018","Sahel","Strategic developments"
"12-2018","Sahel","Violence against civilians"
"12-2018","Sahel","Violence against civilians"
"12-2018","Centre-Nord","Riots"
"12-2018","Centre","Riots"
"12-2018","Plateau-Central","Protests"
"12-2018","Sahel","Battles"
"12-2018","Sahel","Strategic developments"
"12-2018","Sud-Ouest","Violence against civilians"
"12-2018","Centre","Protests"
"12-2018","Boucle du Mouhoun","Riots"
"12-2018","Sahel","Violence against civilians"
"12-2018","Boucle du Mouhoun","Battles"
"12-2018","Est","Explosions/Remote violence"
"12-2018","Sahel","Battles"
"12-2018","Est","Violence against civilians"
"12-2018","Sahel","Violence against civilians"
"12-2018","Sahel","Battles"
"12-2018","Boucle du Mouhoun","Strategic developments"
"12-2018","Sahel","Violence against civilians"
"12-2018","Est","Strategic developments"
"12-2018","Boucle du Mouhoun","Battles"
"12-2018","Boucle du Mouhoun","Explosions/Remote violence"
"12-2018","Est","Strategic developments"
"12-2018","Est","Battles"
"12-2018","Sahel","Explosions/Remote violence"
"12-2018","Centre","Strategic developments"
"12-2018","Sahel","Violence against civilians"
"12-2018","Centre","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Centre-Nord","Battles"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Sahel","Strategic developments"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Boucle du Mouhoun","Battles"
"01-2019","Sud-Ouest","Protests"
"01-2019","Boucle du Mouhoun","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Hauts-Bassins","Protests"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Est","Strategic developments"
"01-2019","Est","Violence against civilians"
"01-2019","Plateau-Central","Protests"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Boucle du Mouhoun","Protests"
"01-2019","Sud-Ouest","Protests"
"01-2019","Hauts-Bassins","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sud-Ouest","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Est","Battles"
"01-2019","Sahel","Protests"
"01-2019","Centre","Protests"
"01-2019","Cascades","Battles"
"01-2019","Cascades","Battles"
"01-2019","Centre-Sud","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sud-Ouest","Protests"
"01-2019","Est","Violence against civilians"
"01-2019","Sud-Ouest","Protests"
"01-2019","Sud-Ouest","Riots"
"01-2019","Est","Violence against civilians"
"01-2019","Plateau-Central","Protests"
"01-2019","Hauts-Bassins","Protests"
"01-2019","Hauts-Bassins","Riots"
"01-2019","Centre","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Hauts-Bassins","Riots"
"01-2019","Nord","Violence against civilians"
"01-2019","Hauts-Bassins","Protests"
"01-2019","Centre-Est","Protests"
"01-2019","Centre-Est","Violence against civilians"
"01-2019","Sahel","Explosions/Remote violence"
"01-2019","Hauts-Bassins","Protests"
"01-2019","Sud-Ouest","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Centre-Ouest","Protests"
"01-2019","Centre","Protests"
"01-2019","Sahel","Battles"
"01-2019","Sahel","Violence against civilians"
"01-2019","Centre","Protests"
"01-2019","Centre-Est","Battles"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sud-Ouest","Protests"
"01-2019","Sud-Ouest","Violence against civilians"
"01-2019","Centre-Nord","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Centre-Nord","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Nord","Violence against civilians"
"01-2019","Sahel","Battles"
"01-2019","Est","Strategic developments"
"01-2019","Centre-Est","Explosions/Remote violence"
"01-2019","Centre","Protests"
"01-2019","Hauts-Bassins","Protests"
"01-2019","Centre","Protests"
"01-2019","Est","Battles"
"01-2019","Est","Violence against civilians"
"01-2019","Est","Strategic developments"
"01-2019","Centre-Nord","Protests"
"01-2019","Nord","Protests"
"01-2019","Hauts-Bassins","Protests"
"01-2019","Centre","Protests"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sahel","Violence against civilians"
"01-2019","Sahel","Explosions/Remote violence"
"02-2019","Est","Strategic developments"
"02-2019","Plateau-Central","Violence against civilians"
"02-2019","Hauts-Bassins","Protests"
"02-2019","Sahel","Strategic developments"
"02-2019","Centre-Nord","Violence against civilians"
"02-2019","Cascades","Battles"
"02-2019","Sahel","Strategic developments"
"02-2019","Boucle du Mouhoun","Violence against civilians"
"02-2019","Sahel","Strategic developments"
"02-2019","Est","Strategic developments"
"02-2019","Nord","Violence against civilians"
"02-2019","Nord","Violence against civilians"
"02-2019","Sud-Ouest","Violence against civilians"
"02-2019","Sud-Ouest","Riots"
"02-2019","Sahel","Strategic developments"
"02-2019","Sahel","Violence against civilians"
"02-2019","Nord","Violence against civilians"
"02-2019","Hauts-Bassins","Riots"
"02-2019","Sahel","Battles"
"02-2019","Sahel","Battles"
"02-2019","Centre-Nord","Battles"
"02-2019","Nord","Battles"
"02-2019","Centre-Nord","Protests"
"02-2019","Centre","Protests"
"02-2019","Hauts-Bassins","Riots"
"02-2019","Sahel","Explosions/Remote violence"
"02-2019","Sahel","Explosions/Remote violence"
"02-2019","Sahel","Strategic developments"
"02-2019","Sahel","Battles"
"02-2019","Sahel","Strategic developments"
"02-2019","Centre","Protests"
"02-2019","Est","Strategic developments"
"02-2019","Est","Strategic developments"
"02-2019","Sud-Ouest","Protests"
"02-2019","Nord","Strategic developments"
"02-2019","Sahel","Violence against civilians"
"02-2019","Est","Violence against civilians"
"02-2019","Sahel","Violence against civilians"
"02-2019","Sahel","Explosions/Remote violence"
"02-2019","Centre-Est","Battles"
"02-2019","Centre","Protests"
"02-2019","Sahel","Battles"
"02-2019","Centre-Est","Violence against civilians"
"02-2019","Sahel","Violence against civilians"
"02-2019","Est","Strategic developments"
"02-2019","Est","Battles"
"02-2019","Sahel","Strategic developments"
"02-2019","Centre-Est","Strategic developments"
"02-2019","Est","Violence against civilians"
"02-2019","Sahel","Battles"
"02-2019","Est","Battles"
"02-2019","Est","Battles"
"02-2019","Hauts-Bassins","Riots"
"02-2019","Sud-Ouest","Protests"
"02-2019","Sahel","Strategic developments"
"02-2019","Sahel","Battles"
"02-2019","Est","Battles"
"02-2019","Est","Battles"
"02-2019","Centre-Nord","Violence against civilians"
"02-2019","Est","Violence against civilians"
"02-2019","Est","Battles"
"02-2019","Est","Strategic developments"
"02-2019","Sud-Ouest","Protests"
"02-2019","Hauts-Bassins","Protests"
"02-2019","Boucle du Mouhoun","Protests"
"02-2019","Centre","Protests"
"02-2019","Centre-Nord","Battles"
"02-2019","Centre-Nord","Battles"
"02-2019","Sahel","Violence against civilians"
"02-2019","Centre-Est","Riots"
"02-2019","Sahel","Battles"
"02-2019","Sahel","Battles"
"03-2019","Centre-Nord","Violence against civilians"
"03-2019","Sahel","Battles"
"03-2019","Est","Battles"
"03-2019","Centre-Nord","Strategic developments"
"03-2019","Sahel","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Centre","Riots"
"03-2019","Est","Battles"
"03-2019","Sahel","Explosions/Remote violence"
"03-2019","Est","Violence against civilians"
"03-2019","Sud-Ouest","Battles"
"03-2019","Est","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Nord","Violence against civilians"
"03-2019","Centre-Est","Strategic developments"
"03-2019","Est","Strategic developments"
"03-2019","Sahel","Explosions/Remote violence"
"03-2019","Nord","Battles"
"03-2019","Hauts-Bassins","Protests"
"03-2019","Sahel","Violence against civilians"
"03-2019","Hauts-Bassins","Protests"
"03-2019","Centre-Nord","Violence against civilians"
"03-2019","Cascades","Riots"
"03-2019","Sahel","Violence against civilians"
"03-2019","Centre-Nord","Violence against civilians"
"03-2019","Nord","Violence against civilians"
"03-2019","Cascades","Riots"
"03-2019","Nord","Violence against civilians"
"03-2019","Nord","Battles"
"03-2019","Est","Strategic developments"
"03-2019","Est","Violence against civilians"
"03-2019","Centre","Protests"
"03-2019","Centre-Nord","Battles"
"03-2019","Boucle du Mouhoun","Battles"
"03-2019","Est","Strategic developments"
"03-2019","Est","Violence against civilians"
"03-2019","Est","Strategic developments"
"03-2019","Sahel","Explosions/Remote violence"
"03-2019","Est","Explosions/Remote violence"
"03-2019","Est","Explosions/Remote violence"
"03-2019","Sahel","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Est","Violence against civilians"
"03-2019","Nord","Violence against civilians"
"03-2019","Sud-Ouest","Strategic developments"
"03-2019","Sahel","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Centre-Nord","Violence against civilians"
"03-2019","Centre","Protests"
"03-2019","Centre-Nord","Battles"
"03-2019","Sahel","Violence against civilians"
"03-2019","Est","Strategic developments"
"03-2019","Boucle du Mouhoun","Battles"
"03-2019","Sahel","Explosions/Remote violence"
"03-2019","Sahel","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Centre","Protests"
"03-2019","Boucle du Mouhoun","Battles"
"03-2019","Cascades","Battles"
"03-2019","Sahel","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Sahel","Violence against civilians"
"03-2019","Est","Battles"
"03-2019","Centre-Est","Violence against civilians"
"03-2019","Est","Battles"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Boucle du Mouhoun","Battles"
"04-2019","Sahel","Battles"
"04-2019","Sahel","Battles"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Boucle du Mouhoun","Battles"
"04-2019","Centre","Protests"
"04-2019","Centre-Nord","Battles"
"04-2019","Boucle du Mouhoun","Battles"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Nord","Riots"
"04-2019","Centre-Nord","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Battles"
"04-2019","Centre","Protests"
"04-2019","Centre","Protests"
"04-2019","Est","Violence against civilians"
"04-2019","Est","Explosions/Remote violence"
"04-2019","Est","Violence against civilians"
"04-2019","Est","Battles"
"04-2019","Est","Violence against civilians"
"04-2019","Sahel","Battles"
"04-2019","Centre","Protests"
"04-2019","Sahel","Violence against civilians"
"04-2019","Centre-Nord","Battles"
"04-2019","Centre","Protests"
"04-2019","Nord","Protests"
"04-2019","Centre","Protests"
"04-2019","Sahel","Battles"
"04-2019","Centre-Nord","Strategic developments"
"04-2019","Nord","Violence against civilians"
"04-2019","Centre-Est","Violence against civilians"
"04-2019","Est","Violence against civilians"
"04-2019","Est","Violence against civilians"
"04-2019","Centre","Protests"
"04-2019","Sahel","Violence against civilians"
"04-2019","Boucle du Mouhoun","Strategic developments"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Est","Violence against civilians"
"04-2019","Centre-Nord","Violence against civilians"
"04-2019","Est","Violence against civilians"
"04-2019","Nord","Violence against civilians"
"04-2019","Est","Violence against civilians"
"04-2019","Est","Battles"
"04-2019","Sahel","Battles"
"04-2019","Centre","Protests"
"04-2019","Hauts-Bassins","Protests"
"04-2019","Nord","Protests"
"04-2019","Nord","Protests"
"04-2019","Sud-Ouest","Protests"
"04-2019","Sud-Ouest","Protests"
"04-2019","Sahel","Violence against civilians"
"04-2019","Est","Violence against civilians"
"04-2019","Sahel","Strategic developments"
"04-2019","Sahel","Violence against civilians"
"04-2019","Centre-Nord","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Strategic developments"
"04-2019","Est","Strategic developments"
"04-2019","Sahel","Strategic developments"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Battles"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Centre","Protests"
"04-2019","Boucle du Mouhoun","Protests"
"04-2019","Centre-Est","Protests"
"04-2019","Sahel","Strategic developments"
"04-2019","Est","Battles"
"04-2019","Sud-Ouest","Battles"
"04-2019","Centre-Est","Violence against civilians"
"04-2019","Centre-Est","Violence against civilians"
"04-2019","Nord","Violence against civilians"
"04-2019","Est","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Sahel","Violence against civilians"
"04-2019","Est","Violence against civilians"
"04-2019","Centre-Nord","Violence against civilians"
"04-2019","Sud-Ouest","Riots"
"04-2019","Centre-Nord","Violence against civilians"
"04-2019","Plateau-Central","Riots"
"04-2019","Centre-Nord","Battles"
"04-2019","Sahel","Battles"
"04-2019","Centre-Nord","Strategic developments"
"04-2019","Plateau-Central","Violence against civilians"
"04-2019","Centre","Protests"
"04-2019","Centre-Nord","Violence against civilians"
"04-2019","Centre-Nord","Violence against civilians"
"04-2019","Est","Explosions/Remote violence"
"05-2019","Est","Protests"
"05-2019","Centre-Nord","Strategic developments"
"05-2019","Nord","Protests"
"05-2019","Centre-Nord","Strategic developments"
"05-2019","Cascades","Battles"
"05-2019","Est","Protests"
"05-2019","Centre","Protests"
